lambda (um), lambda u_lambda (ev cm-3)
0.04352947078065882, 0.0003192508060815817
0.045977752318480135, 0.0006984826883562859
0.050736793995274275, 0.0012981984975089273
0.05537911680536975, 0.003031796323339296
0.061783783093436406, 0.0061637648093737655
0.07201357275129945, 0.011088280772530613
0.07774713629641034, 0.01779486891684884
0.09467507345539103, 0.030483253875757347
0.11913663473048579, 0.044723022980352675
0.14039071184477916, 0.05439226534465752
0.18256045463080448, 0.05901416155249381
0.2297294182690419, 0.06890529638229272
0.2677667824872233, 0.08244695353314849
0.30870511598360445, 0.09864989345933597
0.3559020588258884, 0.12395677078110909
0.41939528927119596, 0.14831751159419296
0.5163302044792849, 0.17891898759909228
0.5823836719219403, 0.1973146563266257
0.7169901238790677, 0.23227236087695977
0.8827091126659232, 0.24793222545257745
1.0749014105428123, 0.23609204452607246
1.2666647377647235, 0.21760168735434948
1.4444278278019547, 0.19571195333250435
1.6292099453481395, 0.17317643471035848
1.7782787140517704, 0.1544905407230557
2.095525151343414, 0.11900378949714005
2.4693660460273184, 0.08658169216565813
2.8159156306865283, 0.06779049205054553
3.176148826872914, 0.05439226534465752
3.504907673580944, 0.03989738385302183
3.9102568072984734, 0.031751990409365015
4.410486392394139, 0.02425982645552787
5.0847969291079185, 0.017506983083024483
5.672863212816226, 0.012841578634661826
6.684899865079281, 0.008267137039034731
7.9641688904047045, 0.005109548949508828
9.592658343597236, 0.003316354449068264
11.059260895038694, 0.0021176588935349627
12.750089408340864, 0.0014552178165260906
14.861180788337597, 0.0009292289475364782
16.946791400028534, 0.0006490503333737615
20.189847504721644, 0.00041445123913306077
