Emin (MeV)			 	Emax					Emean					Flux UL, erg/cm2s
1000.0 				1778.2794100389228 	1333.521432163324 	5.792793190635713e-13
1778.2794100389228 	3162.2776601683795 	2371.3737056616555 	6.894586083481221e-13
3162.2776601683795 	5623.413251903491 	4216.965034285823 	8.330793084949688e-13
5623.413251903491 	10000.0 				7498.942093324558 	9.04677019872599e-13
10000.0 				17782.794100389227 	13335.21432163324 	1.1114817788411845e-12
17782.794100389227 	31622.776601683792 	23713.737056616552 	1.3021681085047144e-12
31622.776601683792 	56234.13251903491 	42169.65034285822 	1.2090960941609792e-12
56234.13251903491 	100000.0 			74989.42093324558 	1.972483734700656e-12
100000.0 			177827.94100389228 	133352.1432163324 	2.232518345734267e-12
177827.94100389228 	316227.7660168379 	237137.3705661655 	2.2824726648449367e-12
316227.7660168379 	562341.3251903491 	421696.5034285822 	5.810550657104914e-12
562341.3251903491 	1000000.0 			749894.2093324559 	4.801891530341453e-12
1000000.0 			1778279.410038923 	1333521.432163324 	1.0321992978937424e-11
