obs lam, angsrom	flux, W m-2 um-1
6565.23	9.0e-13
4861.13	-7.4e-14
4340.13	-1.3e-13
4101.83	-1.6e-13
3970.16	-2.1e-13
3889.63	-2.2e-13
3835.78	-2.0e-13
3798.43	-1.5e-13
3770.67	-1.2e-13
3750.51	-8.0e-14
5785.6	-5.6e-15
5898.32	-2.2e-14
6544.13	2.1e-14
4861.08	-7.4e-14
4340.82	-1.3e-13
4102.2	-1.5e-13
3970.2	-1.9e-13
3889.35	-2.0e-13
3835.29	-1.7e-13
3797.5	-1.5e-13
3770	-1.4e-13
3749.41	-1.0e-13
5778.29	-1.8e-15
5891.15	-8.6e-15
6561.86	-6.4e-14
4861.12	-1.5e-13
4339.74	-1.6e-13
4101.3	-2.1e-13
3970.08	-2.4e-13
3889.7	-2.2e-13
3835.86	-1.8e-13
3799.13	-1.1e-13
3772.49	-5.9e-14
3751.25	-3.9e-14
5779.41	-6.4e-15
5891.97	-2.3e-14
6562.02	-5.0e-14
4860.46	-1.0e-13
4340.1	-1.1e-13
4101.53	-1.1e-13
3969.79	-1.3e-13
3889.43	-1.3e-13
3835.4	-1.2e-13
3798.3	-7.9e-14
3770.75	-5.6e-14
3749.82	-4.4e-14
5777.52	-4.0e-15
5890.62	-2.1e-14
